"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","15 years",15,3
" ","16 years",15,9
" ","17 years",18,9
" ","18 years",18,15
" ","19 years",30,12
" ","20 years",36,9
" ","21 years",42,12
" ","22 years",30,12
" ","23 years",30,18
" ","24 years",24,12
" ","25 years",36,12
" ","26 years",24,21
" ","27 years",21,21
" ","28 years",39,12
" ","29 years",24,21
" ","30 years",27,18
" ","31 years",21,12
" ","32 years",30,15
" ","33 years",33,15
" ","34 years",21,24
" ","35 years",27,12
" ","36 years",30,18
" ","37 years",33,21
" ","38 years",30,30
" ","39 years",39,30
" ","40 years",36,15
" ","41 years",30,21
" ","42 years",48,33
" ","43 years",45,33
" ","44 years",48,39
" ","45 years",57,42
" ","46 years",60,39
" ","47 years",63,45
" ","48 years",75,51
" ","49 years",72,48
" ","50 years",87,54
" ","51 years",75,45
" ","52 years",84,69
" ","53 years",99,81
" ","54 years",120,69
" ","55 years",87,57
" ","56 years",141,81
" ","57 years",123,81
" ","58 years",129,102
" ","59 years",153,114
" ","60 years",207,135
" ","61 years",147,78
" ","62 years",186,114
" ","63 years",213,126
" ","64 years",219,138
" ","65 years",252,150
" ","66 years",246,159
" ","67 years",258,147
" ","68 years",240,177
" ","69 years",270,210
" ","70 years",267,219
" ","71 years",249,201
" ","72 years",321,243
" ","73 years",321,261
" ","74 years",363,288
" ","75 years",315,300
" ","76 years",345,282
" ","77 years",279,246
" ","78 years",303,273
" ","79 years",273,231
" ","80 years",255,249
" ","81 years",192,189
" ","82 years",225,204
" ","83 years",201,180
" ","84 years",213,207
" ","85 years",162,171
" ","86 years",147,162
" ","87 years",114,132
" ","88 years",93,111
" ","89 years",69,102
" ","90 years",51,60
" ","91 years",39,63
" ","92 years",42,54
" ","93 years",24,33
" ","94 years",18,36
" ","95 years",9,24
" ","96 years",6,15
" ","97 years",9,9
" ","98 years",3,18
" ","99 years",3,6
" ","100 years and over",3,12
" ","Median age at death",68.7,71.9
1955,"Total all ages",10626,8598
" ","Neonatal",489,327
" ","Post-neonatal",327,219
" ","Infant",819,546
" ","1-4 years",168,150
" ","5-9 years",84,51
" ","10-14 years",60,42
" ","15-19 years",105,45
" ","20-24 years",129,60
" ","25-29 years",123,57
" ","30-34 years",120,72
" ","35-39 years",174,114
" ","40-44 years",204,159
" ","45-49 years",339,255
" ","50-54 years",510,363
" ","55-59 years",678,414
" ","60-64 years",858,591
" ","65-69 years",1236,930
" ","70-74 years",1560,1185
