"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","21 years",21,9
" ","22 years",27,9
" ","23 years",30,9
" ","24 years",24,12
" ","25 years",27,9
" ","26 years",24,18
" ","27 years",21,15
" ","28 years",27,12
" ","29 years",18,15
" ","30 years",36,15
" ","31 years",30,12
" ","32 years",33,15
" ","33 years",27,15
" ","34 years",36,18
" ","35 years",21,30
" ","36 years",33,24
" ","37 years",30,21
" ","38 years",36,24
" ","39 years",27,21
" ","40 years",33,39
" ","41 years",45,21
" ","42 years",42,36
" ","43 years",51,33
" ","44 years",45,39
" ","45 years",63,54
" ","46 years",78,45
" ","47 years",81,54
" ","48 years",72,45
" ","49 years",81,57
" ","50 years",84,54
" ","51 years",81,63
" ","52 years",126,66
" ","53 years",108,75
" ","54 years",108,69
" ","55 years",123,69
" ","56 years",147,96
" ","57 years",150,84
" ","58 years",147,93
" ","59 years",153,93
" ","60 years",165,120
" ","61 years",162,102
" ","62 years",177,120
" ","63 years",210,153
" ","64 years",213,135
" ","65 years",252,153
" ","66 years",231,159
" ","67 years",282,171
" ","68 years",267,186
" ","69 years",294,240
" ","70 years",339,204
" ","71 years",291,231
" ","72 years",339,261
" ","73 years",360,261
" ","74 years",366,288
" ","75 years",348,261
" ","76 years",417,294
" ","77 years",348,285
" ","78 years",336,324
" ","79 years",330,288
" ","80 years",318,309
" ","81 years",276,258
" ","82 years",258,255
" ","83 years",237,249
" ","84 years",222,246
" ","85 years",219,204
" ","86 years",168,204
" ","87 years",165,195
" ","88 years",99,132
" ","89 years",87,120
" ","90 years",72,81
" ","91 years",48,78
" ","92 years",42,75
" ","93 years",27,42
" ","94 years",30,30
" ","95 years",15,33
" ","96 years",12,21
" ","97 years",12,18
" ","98 years",0,12
" ","99 years",3,12
" ","100 years and over",3,12
" ","Median age at death",69.8,73.0
1958,"Total all ages",11181,9120
" ","Neonatal",519,363
" ","Post-neonatal",288,243
" ","Infant",807,609
" ","1-4 years",192,138
" ","5-9 years",87,63
" ","10-14 years",54,45
" ","15-19 years",129,39
" ","20-24 years",120,54
" ","25-29 years",126,63
" ","30-34 years",129,75
" ","35-39 years",156,126
" ","40-44 years",204,153
" ","45-49 years",363,270
" ","50-54 years",510,339
" ","55-59 years",717,408
" ","60-64 years",897,624
" ","65-69 years",1182,840
" ","70-74 years",1569,1155
" ","75-79 years",1737,1497
" ","80-84 years",1245,1365
" ","85-89 years",666,825
" ","90-94 years",240,351
" ","95-99 years",39,69
" ","100 years and over",6,9
" ","Less than 1 year",807,609
" ","1 year",84,54
" ","2 years",57,36
" ","3 years",30,30
" ","4 years",21,18
" ","5 years",15,18
" ","6 years",21,12
" ","7 years",18,9
" ","8 years",15,12
" ","9 years",15,12
" ","10 years",6,9
" ","11 years",15,15
" ","12 years",9,9
" ","13 years",12,9
" ","14 years",9,6
" ","15 years",18,3
" ","16 years",21,6
" ","17 years",18,15
" ","18 years",30,6
" ","19 years",42,9
" ","20 years",39,9
" ","21 years",18,9
" ","22 years",27,12
" ","23 years",18,9
" ","24 years",18,12
" ","25 years",24,9
" ","26 years",27,12
" ","27 years",21,6
" ","28 years",33,18
" ","29 years",24,21
" ","30 years",27,15
" ","31 years",27,24
" ","32 years",21,15
" ","33 years",30,9
" ","34 years",24,12
" ","35 years",42,21
" ","36 years",27,21
" ","37 years",30,24
" ","38 years",30,33
" ","39 years",33,30
" ","40 years",30,21
" ","41 years",30,24
" ","42 years",54,36
" ","43 years",45,42
" ","44 years",48,33
" ","45 years",69,48
" ","46 years",51,39
" ","47 years",54,42
" ","48 years",81,60
" ","49 years",105,81
" ","50 years",90,66
" ","51 years",72,63
" ","52 years",114,66
" ","53 years",117,75
" ","54 years",114,66
" ","55 years",144,60
" ","56 years",120,87
" ","57 years",156,81
" ","58 years",156,93
" ","59 years",144,84
" ","60 years",168,102
" ","61 years",159,105
" ","62 years",165,126
" ","63 years",195,153
" ","64 years",213,141
" ","65 years",234,162
" ","66 years",213,135
" ","67 years",225,168
" ","68 years",237,153
" ","69 years",273,225
" ","70 years",300,192
" ","71 years",258,189
" ","72 years",336,243
" ","73 years",315,279
" ","74 years",357,249
" ","75 years",336,276
" ","76 years",333,306
" ","77 years",351,288
" ","78 years",363,318
" ","79 years",354,309
" ","80 years",288,297
" ","81 years",255,276
" ","82 years",267,300
" ","83 years",222,246
" ","84 years",213,243
" ","85 years",171,204
" ","86 years",162,195
" ","87 years",132,171
" ","88 years",102,123
" ","89 years",99,126
" ","90 years",72,96
" ","91 years",66,84
" ","92 years",42,57
" ","93 years",36,66
" ","94 years",21,48
" ","95 years",18,24
" ","96 years",9,27
" ","97 years",6,9
" ","98 years",6,9
" ","99 years",3,3
" ","100 years and over",6,9
" ","Median age at death",69.7,73.3
1959,"Total all ages",11646,9480
" ","Neonatal",501,399
" ","Post-neonatal",330,246
" ","Infant",834,645
" ","1-4 years",165,159
" ","5-9 years",66,54
" ","10-14 years",66,27
" ","15-19 years",102,45
" ","20-24 years",132,45
" ","25-29 years",114,60
" ","30-34 years",135,81
" ","35-39 years",165,120
" ","40-44 years",207,165
" ","45-49 years",384,270
" ","50-54 years",513,318
" ","55-59 years",762,441
" ","60-64 years",963,627
" ","65-69 years",1215,870
" ","70-74 years",1584,1224
" ","75-79 years",1767,1575
" ","80-84 years",1386,1410
" ","85-89 years",765,921
" ","90-94 years",258,351
" ","95-99 years",57,78
" ","100 years and over",6,9
" ","Less than 1 year",834,645
" ","1 year",75,87
" ","2 years",39,21
" ","3 years",27,30
" ","4 years",24,18
" ","5 years",12,12
" ","6 years",9,15
" ","7 years",15,9
" ","8 years",21,6
" ","9 years",12,9
" ","10 years",9,9
" ","11 years",12,3
" ","12 years",12,6
" ","13 years",12,6
" ","14 years",15,3
" ","15 years",15,9
" ","16 years",12,6
" ","17 years",18,9
" ","18 years",33,12
" ","19 years",21,9
" ","20 years",30,6
" ","21 years",21,9
" ","22 years",21,12
" ","23 years",24,9
" ","24 years",30,9
" ","25 years",21,9
" ","26 years",27,6
" ","27 years",21,15
" ","28 years",21,15
" ","29 years",24,15
" ","30 years",33,15
" ","31 years",18,18
" ","32 years",21,15
" ","33 years",30,18
" ","34 years",39,12
" ","35 years",21,12
" ","36 years",33,24
" ","37 years",30,30
" ","38 years",45,27
" ","39 years",36,27
" ","40 years",39,30
" ","41 years",27,24
" ","42 years",39,30
" ","43 years",42,36
" ","44 years",57,45
" ","45 years",63,48
" ","46 years",60,48
" ","47 years",72,57
" ","48 years",84,54
" ","49 years",102,60
" ","50 years",87,51
" ","51 years",90,45
" ","52 years",87,69
" ","53 years",120,69
" ","54 years",126,81
" ","55 years",108,84
" ","56 years",147,84
" ","57 years",141,69
" ","58 years",159,96
" ","59 years",207,105
" ","60 years",171,93
" ","61 years",159,114
" ","62 years",201,126
" ","63 years",216,129
" ","64 years",219,165
" ","65 years",249,156
" ","66 years",213,168
" ","67 years",237,165
" ","68 years",240,186
" ","69 years",276,189
" ","70 years",282,204
" ","71 years",276,216
" ","72 years",327,228
" ","73 years",348,258
" ","74 years",354,312
" ","75 years",360,306
" ","76 years",357,309
" ","77 years",324,285
" ","78 years",360,351
" ","79 years",366,321
" ","80 years",336,300
" ","81 years",264,261
" ","82 years",285,300
" ","83 years",264,294
" ","84 years",234,255
" ","85 years",195,240
" ","86 years",186,204
" ","87 years",159,192
" ","88 years",123,153
" ","89 years",99,129
" ","90 years",78,111
" ","91 years",60,78
" ","92 years",66,69
" ","93 years",36,54
" ","94 years",27,45
" ","95 years",18,24
" ","96 years",15,21
" ","97 years",12,18
" ","98 years",6,6
" ","99 years",6,9
" ","100 years and over",9,9
" ","Median age at death",70.0,73.7
1960,"Total all ages",11547,9348
" ","Neonatal",534,396
" ","Post-neonatal",282,204
" ","Infant",816,603
" ","1-4 years",156,135
" ","5-9 years",81,57
" ","10-14 years",45,39
" ","15-19 years",105,45
" ","20-24 years",102,51
" ","25-29 years",99,48
" ","30-34 years",132,72
" ","35-39 years",162,129
" ","40-44 years",231,165
" ","45-49 years",405,219
" ","50-54 years",555,345
" ","55-59 years",783,447
" ","60-64 years",975,624
" ","65-69 years",1188,804
" ","70-74 years",1479,1179
" ","75-79 years",1758,1554
" ","80-84 years",1413,1440
" ","85-89 years",765,930
" ","90-94 years",246,372
" ","95-99 years",48,84
" ","100 years and over",6,6
" ","Less than 1 year",819,603
" ","1 year",75,54
" ","2 years",33,36
" ","3 years",21,24
" ","4 years",27,15
" ","5 years",18,9
" ","6 years",15,15
" ","7 years",12,6
" ","8 years",15,9
" ","9 years",21,12
" ","10 years",9,6
" ","11 years",9,6
" ","12 years",9,6
" ","13 years",9,9
" ","14 years",12,12
" ","15 years",12,6
" ","16 years",18,6
" ","17 years",27,18
" ","18 years",24,9
" ","19 years",24,6
" ","20 years",24,15
" ","21 years",18,12
" ","22 years",21,9
" ","23 years",24,6
" ","24 years",15,9
" ","25 years",15,15
" ","26 years",24,15
" ","27 years",21,6
" ","28 years",15,6
" ","29 years",21,9
" ","30 years",24,12
" ","31 years",24,12
" ","32 years",24,12
" ","33 years",27,18
" ","34 years",33,18
" ","35 years",30,18
" ","36 years",39,15
" ","37 years",33,27
" ","38 years",33,27
" ","39 years",30,36
" ","40 years",39,27
" ","41 years",27,24
" ","42 years",60,45
" ","43 years",45,42
" ","44 years",63,30
" ","45 years",57,45
" ","46 years",69,42
" ","47 years",84,36
" ","48 years",87,57
" ","49 years",105,39
" ","50 years",102,66
" ","51 years",87,51
" ","52 years",126,69
" ","53 years",117,78
" ","54 years",123,81
" ","55 years",132,84
" ","56 years",135,84
" ","57 years",147,75
" ","58 years",183,99
" ","59 years",186,108
" ","60 years",183,123
" ","61 years",183,90
" ","62 years",210,129
" ","63 years",192,147
" ","64 years",207,138
" ","65 years",204,153
" ","66 years",213,129
" ","67 years",234,144
" ","68 years",267,180
" ","69 years",270,195
" ","70 years",288,228
" ","71 years",270,219
" ","72 years",303,213
" ","73 years",306,243
" ","74 years",309,276
" ","75 years",351,297
" ","76 years",372,309
" ","77 years",351,306
" ","78 years",345,330
" ","79 years",342,309
" ","80 years",321,336
" ","81 years",273,249
" ","82 years",291,291
" ","83 years",285,294
" ","84 years",243,270
" ","85 years",213,252
" ","86 years",180,222
" ","87 years",144,168
" ","88 years",114,150
" ","89 years",114,138
" ","90 years",72,126
" ","91 years",54,87
" ","92 years",45,78
" ","93 years",39,48
" ","94 years",36,39
" ","95 years",12,36
" ","96 years",21,21
" ","97 years",3,15
" ","98 years",9,12
" ","99 years",0,3
" ","100 years and over",3,9
" ","Median age at death",69.8,74.0
1961,"Total all ages",11901,9882
" ","Neonatal",558,390
" ","Post-neonatal",306,234
" ","Infant",867,624
" ","1-4 years",159,132
" ","5-9 years",60,51
" ","10-14 years",69,36
" ","15-19 years",105,48
" ","20-24 years",126,45
" ","25-29 years",120,45
" ","30-34 years",111,84
" ","35-39 years",186,123
" ","40-44 years",222,168
" ","45-49 years",393,264
" ","50-54 years",600,345
" ","55-59 years",807,462
" ","60-64 years",1089,633
" ","65-69 years",1218,867
" ","70-74 years",1512,1272
" ","75-79 years",1734,1638
" ","80-84 years",1392,1548
" ","85-89 years",819,984
" ","90-94 years",255,420
" ","95-99 years",45,81
" ","100 years and over",9,15
" ","Less than 1 year",867,624
" ","1 year",84,54
" ","2 years",33,33
" ","3 years",24,24
" ","4 years",18,21
" ","5 years",21,12
" ","6 years",9,12
" ","7 years",12,6
" ","8 years",12,9
" ","9 years",6,12
" ","10 years",12,6
" ","11 years",9,6
" ","12 years",15,9
" ","13 years",12,6
" ","14 years",18,9
" ","15 years",18,9
" ","16 years",18,12
" ","17 years",18,9
" ","18 years",21,9
" ","19 years",27,9
" ","20 years",24,9
" ","21 years",24,12
" ","22 years",21,6
" ","23 years",30,9
" ","24 years",24,9
" ","25 years",21,6
" ","26 years",24,6
" ","27 years",15,9
" ","28 years",27,15
" ","29 years",30,9
" ","30 years",21,18
" ","31 years",18,15
" ","32 years",27,15
" ","33 years",30,15
" ","34 years",21,27
" ","35 years",33,18
" ","36 years",33,24
" ","37 years",36,27
" ","38 years",30,27
" ","39 years",51,30
" ","40 years",39,33
" ","41 years",30,24
" ","42 years",42,33
" ","43 years",48,33
" ","44 years",63,45
" ","45 years",63,45
" ","46 years",69,48
" ","47 years",69,45
" ","48 years",96,54
" ","49 years",96,72
" ","50 years",99,63
" ","51 years",105,72
" ","52 years",126,60
" ","53 years",138,81
" ","54 years",135,75
" ","55 years",147,93
" ","56 years",153,93
" ","57 years",153,81
" ","58 years",165,102
" ","59 years",183,96
" ","60 years",213,129
" ","61 years",204,126
" ","62 years",195,108
" ","63 years",237,120
" ","64 years",240,150
" ","65 years",210,159
" ","66 years",225,132
" ","67 years",246,177
" ","68 years",261,207
" ","69 years",273,192
" ","70 years",243,204
" ","71 years",285,231
" ","72 years",309,243
" ","73 years",339,276
" ","74 years",336,315
" ","75 years",366,300
" ","76 years",375,345
" ","77 years",312,291
" ","78 years",348,363
" ","79 years",330,336
" ","80 years",327,339
" ","81 years",294,306
" ","82 years",252,318
" ","83 years",291,285
" ","84 years",225,303
" ","85 years",228,240
" ","86 years",204,258
" ","87 years",168,180
" ","88 years",105,174
" ","89 years",117,135
" ","90 years",72,129
" ","91 years",72,114
" ","92 years",48,87
" ","93 years",36,51
" ","94 years",27,42
" ","95 years",21,27
" ","96 years",9,24
" ","97 years",6,18
" ","98 years",3,6
" ","99 years",3,9
" ","100 years and over",9,15
" ","Median age at death",69.3,74.2
1962,"Total all ages",12240,9843
" ","Neonatal",495,330
" ","Post-neonatal",282,228
" ","Infant",777,555
" ","1-4 years",174,102
" ","5-9 years",75,54
" ","10-14 years",72,42
" ","15-19 years",126,51
" ","20-24 years",138,45
" ","25-29 years",84,63
" ","30-34 years",135,78
" ","35-39 years",183,129
" ","40-44 years",219,144
" ","45-49 years",408,279
" ","50-54 years",588,345
" ","55-59 years",801,435
" ","60-64 years",1065,621
" ","65-69 years",1227,882
" ","70-74 years",1563,1206
" ","75-79 years",1782,1638
" ","80-84 years",1545,1596
" ","85-89 years",906,1059
" ","90-94 years",297,420
" ","95-99 years",63,90
" ","100 years and over",9,12
" ","Less than 1 year",777,555
" ","1 year",81,51
" ","2 years",42,27
" ","3 years",27,18
" ","4 years",21,9
" ","5 years",15,12
" ","6 years",18,15
" ","7 years",21,9
" ","8 years",15,12
" ","9 years",9,9
" ","10 years",21,6
" ","11 years",12,6
" ","12 years",9,12
" ","13 years",18,6
" ","14 years",12,12
" ","15 years",15,12
" ","16 years",18,6
" ","17 years",30,6
" ","18 years",36,15
" ","19 years",33,12
" ","20 years",30,6
" ","21 years",30,9
" ","22 years",27,9
" ","23 years",27,12
" ","24 years",21,6
" ","25 years",18,15
" ","26 years",12,12
" ","27 years",21,12
" ","28 years",15,15
" ","29 years",18,9
" ","30 years",24,12
" ","31 years",24,9
" ","32 years",27,18
" ","33 years",39,15
" ","34 years",21,24
" ","35 years",27,18
" ","36 years",36,30
" ","37 years",36,18
" ","38 years",36,24
" ","39 years",51,39
" ","40 years",39,27
" ","41 years",45,24
" ","42 years",36,33
" ","43 years",42,27
" ","44 years",54,27
" ","45 years",66,42
" ","46 years",60,54
" ","47 years",99,57
" ","48 years",93,63
" ","49 years",93,66
" ","50 years",105,57
" ","51 years",99,72
" ","52 years",117,69
" ","53 years",117,69
" ","54 years",150,78
" ","55 years",114,69
" ","56 years",141,87
" ","57 years",186,93
" ","58 years",177,99
" ","59 years",183,87
" ","60 years",183,120
" ","61 years",177,105
" ","62 years",222,150
" ","63 years",246,114
" ","64 years",240,135
" ","65 years",237,168
" ","66 years",237,147
" ","67 years",249,165
" ","68 years",249,201
" ","69 years",252,201
" ","70 years",312,216
" ","71 years",249,195
" ","72 years",315,249
" ","73 years",327,267
" ","74 years",357,282
" ","75 years",351,294
" ","76 years",336,336
" ","77 years",363,309
" ","78 years",363,369
" ","79 years",369,330
" ","80 years",354,369
" ","81 years",306,309
" ","82 years",327,306
" ","83 years",300,315
" ","84 years",258,300
" ","85 years",264,255
" ","86 years",216,288
" ","87 years",183,189
" ","88 years",138,159
" ","89 years",108,168
" ","90 years",93,132
" ","91 years",63,90
" ","92 years",54,87
" ","93 years",48,66
" ","94 years",39,48
" ","95 years",30,33
" ","96 years",15,30
" ","97 years",3,6
" ","98 years",9,12
" ","99 years",3,9
" ","100 years and over",6,9
" ","Median age at death",70.2,74.6
1963,"Total all ages",12426,9993
" ","Neonatal",489,339
" ","Post-neonatal",243,198
" ","Infant",735,537
" ","1-4 years",156,120
" ","5-9 years",69,57
" ","10-14 years",63,36
" ","15-19 years",126,51
