"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
2020,"Total all ages",16905,15708
" ","Neonatal",87,63
" ","Post-neonatal",48,27
" ","Infant",132,93
" ","1-4 years",18,18
" ","5-9 years",21,3
" ","10-14 years",27,18
" ","15-19 years",78,48
" ","20-24 years",111,60
" ","25-29 years",141,63
" ","30-34 years",129,72
" ","35-39 years",159,99
" ","40-44 years",219,135
" ","45-49 years",369,228
" ","50-54 years",525,393
" ","55-59 years",768,624
" ","60-64 years",1071,735
" ","65-69 years",1404,1011
" ","70-74 years",1905,1362
" ","75-79 years",2331,1686
" ","80-84 years",2589,2244
" ","85-89 years",2523,2760
" ","90-94 years",1770,2541
" ","95-99 years",537,1263
" ","100 years and over",72,249
" ","Less than 1 year",132,93
" ","1 year",6,12
" ","2 years",9,3
" ","3 years",0,3
" ","4 years",3,3
" ","5 years",3,3
" ","6 years",3,3
" ","7 years",3,0
" ","8 years",6,0
" ","9 years",6,0
" ","10 years",3,6
" ","11 years",3,3
" ","12 years",3,3
" ","13 years",6,3
" ","14 years",12,3
" ","15 years",12,3
" ","16 years",15,15
" ","17 years",12,12
" ","18 years",15,6
" ","19 years",24,12
" ","20 years",18,12
" ","21 years",30,15
" ","22 years",18,9
" ","23 years",27,12
" ","24 years",18,12
" ","25 years",24,15
" ","26 years",33,6
" ","27 years",27,9
" ","28 years",36,12
" ","29 years",24,18
" ","30 years",27,15
" ","31 years",30,9
" ","32 years",27,15
" ","33 years",27,18
" ","34 years",21,15
" ","35 years",27,27
" ","36 years",30,21
" ","37 years",45,15
" ","38 years",27,15
" ","39 years",30,21
" ","40 years",33,18
" ","41 years",45,27
" ","42 years",33,27
" ","43 years",45,30
" ","44 years",63,30
" ","45 years",54,33
" ","46 years",57,36
" ","47 years",87,54
" ","48 years",87,51
" ","49 years",84,57
" ","50 years",84,78
" ","51 years",96,69
" ","52 years",108,81
" ","53 years",96,87
" ","54 years",138,75
" ","55 years",117,90
" ","56 years",159,123
" ","57 years",159,123
" ","58 years",168,114
" ","59 years",165,177
" ","60 years",198,132
" ","61 years",213,153
" ","62 years",201,159
" ","63 years",222,132
" ","64 years",237,159
" ","65 years",237,171
" ","66 years",255,195
" ","67 years",309,201
" ","68 years",294,204
" ","69 years",312,240
" ","70 years",348,237
" ","71 years",381,264
" ","72 years",381,279
" ","73 years",390,306
" ","74 years",408,273
" ","75 years",414,300
" ","76 years",411,288
" ","77 years",462,339
" ","78 years",519,393
" ","79 years",525,366
" ","80 years",549,435
" ","81 years",504,402
" ","82 years",492,414
" ","83 years",540,519
" ","84 years",507,471
" ","85 years",525,471
" ","86 years",498,549
" ","87 years",525,552
" ","88 years",492,567
" ","89 years",483,618
" ","90 years",426,597
" ","91 years",438,552
" ","92 years",351,516
" ","93 years",312,477
" ","94 years",246,402
" ","95 years",174,399
" ","96 years",141,306
" ","97 years",102,234
" ","98 years",72,177
" ","99 years",48,144
" ","100 years and over",72,249
" ","Median age at death",78.2,82.9
2021,"Total all ages",18000,16929
" ","Neonatal",102,72
" ","Post-neonatal",63,33
" ","Infant",165,108
" ","1-4 years",15,30
" ","5-9 years",12,12
" ","10-14 years",24,21
" ","15-19 years",81,51
" ","20-24 years",123,54
" ","25-29 years",132,60
" ","30-34 years",177,63
" ","35-39 years",177,105
" ","40-44 years",234,153
" ","45-49 years",321,222
" ","50-54 years",570,399
" ","55-59 years",831,567
" ","60-64 years",1092,828
" ","65-69 years",1479,1011
" ","70-74 years",2004,1479
" ","75-79 years",2373,1830
" ","80-84 years",2769,2550
" ","85-89 years",2757,2901
" ","90-94 years",1935,2835
" ","95-99 years",651,1383
" ","100 years and over",84,264
" ","Less than 1 year",165,108
" ","1 year",9,12
" ","2 years",0,9
" ","3 years",6,6
" ","4 years",3,6
" ","5 years",6,3
" ","6 years",3,0
" ","7 years",0,3
" ","8 years",0,3
" ","9 years",3,3
" ","10 years",3,0
" ","11 years",3,3
" ","12 years",0,3
" ","13 years",6,6
" ","14 years",6,9
" ","15 years",9,9
" ","16 years",6,9
" ","17 years",15,12
" ","18 years",18,9
" ","19 years",27,12
" ","20 years",21,15
" ","21 years",24,12
