"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","12 Years",31280,29740
" ","13 Years",31650,29860
" ","14 Years",30920,28930
" ","15 Years",31630,30130
" ","16 Years",31630,30010
" ","17 Years",32420,30700
" ","18 Years",31960,30660
" ","19 Years",32450,31000
" ","20 Years",32460,31510
" ","21 Years",32790,31770
" ","22 Years",32710,32150
" ","23 Years",30900,30710
" ","24 Years",29790,29590
" ","25 Years",28520,29160
" ","26 Years",27380,28120
" ","27 Years",26740,28110
" ","28 Years",26230,28360
" ","29 Years",26340,28240
" ","30 Years",26820,28800
" ","31 Years",25920,28260
" ","32 Years",25980,28180
" ","33 Years",25710,28300
" ","34 Years",25100,27970
" ","35 Years",25010,27760
" ","36 Years",25910,28150
" ","37 Years",25850,28470
" ","38 Years",27220,30160
" ","39 Years",28160,31260
" ","40 Years",29320,32800
" ","41 Years",30450,33630
" ","42 Years",30350,33940
" ","43 Years",30190,33270
" ","44 Years",30300,33250
" ","45 Years",29710,32410
" ","46 Years",29520,32100
" ","47 Years",29920,31920
" ","48 Years",30200,32290
" ","49 Years",31110,33280
" ","50 Years",31400,34060
" ","51 Years",31220,33260
" ","52 Years",30390,32470
" ","53 Years",29250,31080
" ","54 Years",28530,30180
" ","55 Years",27680,29230
" ","56 Years",27320,28700
" ","57 Years",26330,27780
" ","58 Years",25500,26910
" ","59 Years",24710,26060
" ","60 Years",24200,25660
" ","61 Years",23820,24660
" ","62 Years",23390,24560
" ","63 Years",23340,24140
" ","64 Years",23070,23880
" ","65 Years",23110,24070
" ","66 Years",22460,23400
" ","67 Years",19160,20140
" ","68 Years",17630,18520
" ","69 Years",16610,17410
" ","70 Years",15360,16400
" ","71 Years",16370,17500
" ","72 Years",15690,16790
" ","73 Years",13790,14970
" ","74 Years",12460,14100
" ","75 Years",11740,13140
" ","76 Years",10760,12330
" ","77 Years",9930,11350
" ","78 Years",9530,10770
" ","79 Years",8650,10390
" ","80 Years",8190,10020
" ","81 Years",7920,9600
" ","82 Years",7470,9530
" ","83 Years",6580,8790
" ","84 Years",5910,8060
" ","85 Years",5270,7270
" ","86 Years",4560,6800
" ","87 Years",3750,6100
" ","88 Years",3170,5490
" ","89 Years",2530,4580
" ","90 Years",1960,3940
" ","91 Years",1570,3380
" ","92 Years",1220,2790
" ","93 Years",810,2000
" ","94 Years",560,1460
" ","0-4 Years",160980,152380
" ","5-9 Years",152740,145900
" ","10-14 Years",152560,144800
" ","15-19 Years",160100,152500
" ","20-24 Years",158640,155720
" ","25-29 Years",135210,141990
" ","30-34 Years",129530,141510
" ","35-39 Years",132150,145790
" ","40-44 Years",150610,166890
" ","45-49 Years",150470,162000
" ","50-54 Years",150790,161050
" ","55-59 Years",131530,138680
" ","60-64 Years",117810,122900
" ","65-69 Years",98970,103540
" ","70-74 Years",73680,79760
" ","75-79 Years",50600,57980
" ","80-84 Years",36070,46000
" ","85-89 Years",19290,30240
" ","Under 15 Years",466300,443100
" ","Under 16 Years",497900,473200
" ","Under 18 Years",562000,533900
" ","Under 20 Years",626400,595600
" ","15-39 Years",715600,737500
" ","15-49 Years",1016700,1066400
" ","15-59 Years",1299000,1366100
" ","40-64 Years",701200,751500
" ","15-64 Years",1416800,1489000
" ","15 Years and Over",1702700,1823900
" ","16 Years and Over",1671100,1793800
" ","18 Years and Over",1607000,1733100
" ","20 Years and Over",1542600,1671400
" ","90-94 Years",6120,13580
" ","60 Years and Over",403700,457800
" ","65 Years and Over",285900,334900
" ","75 Years and Over",113300,151600
" ","80 Years and Over",62700,93600
" ","85 Years and Over",26600,47600
" ","90 Years and Over",7300,17350
" ","95 Years and Over",1180,3770
" ","Median Age (Years)",36.4,38.5
" ","Total All Ages",2169000,2267000
"2013Q2","0 Years",30890,29370
" ","1 Years",31410,29950
" ","2 Years",31970,30580
" ","3 Years",32960,31320
" ","4 Years",32930,30550
" ","5 Years",32730,31090
" ","6 Years",31520,30050
" ","7 Years",29960,28790
" ","8 Years",29550,28140
" ","9 Years",29810,28430
" ","10 Years",29330,27900
" ","11 Years",29240,28280
" ","12 Years",30870,29480
" ","13 Years",31780,29930
" ","14 Years",30980,29000
" ","15 Years",31620,29930
" ","16 Years",31650,30350
" ","17 Years",32430,30440
" ","18 Years",32160,30770
" ","19 Years",32290,30840
" ","20 Years",32810,31590
" ","21 Years",32490,31430
" ","22 Years",32760,32070
" ","23 Years",31220,31030
" ","24 Years",29910,29620
" ","25 Years",28550,29240
" ","26 Years",27500,28240
" ","27 Years",26710,28080
" ","28 Years",26240,28290
" ","29 Years",26330,28300
" ","30 Years",26530,28630
" ","31 Years",26060,28510
" ","32 Years",26030,28010
" ","33 Years",25570,28140
" ","34 Years",25320,28290
" ","35 Years",24970,27630
" ","36 Years",25740,28060
" ","37 Years",25830,28300
" ","38 Years",26840,29790
" ","39 Years",28120,31070
" ","40 Years",29000,32360
" ","41 Years",30270,33550
" ","42 Years",30650,34240
" ","43 Years",29990,33070
" ","44 Years",30260,33180
" ","45 Years",29930,32650
" ","46 Years",29520,32390
" ","47 Years",29680,31790
" ","48 Years",30000,31970
" ","49 Years",30960,33100
" ","50 Years",31200,33790
" ","51 Years",31370,33500
" ","52 Years",30570,32770
" ","53 Years",29500,31240
" ","54 Years",29030,30700
" ","55 Years",27530,29230
" ","56 Years",27380,28790
" ","57 Years",26620,27970
" ","58 Years",25610,27100
" ","59 Years",25030,26490
" ","60 Years",24120,25490
" ","61 Years",23850,24970
" ","62 Years",23520,24380
" ","63 Years",23270,24470
" ","64 Years",23140,23800
" ","65 Years",23070,24050
" ","66 Years",23050,23940
" ","67 Years",19250,20190
" ","68 Years",18010,19110
" ","69 Years",17190,17900
" ","70 Years",14990,15930
" ","71 Years",16410,17570
" ","72 Years",15750,16960
" ","73 Years",14360,15490
" ","74 Years",12520,14060
" ","75 Years",11820,13220
" ","76 Years",10910,12470
" ","77 Years",10020,11540
" ","78 Years",9480,10730
" ","79 Years",8780,10380
" ","80 Years",8100,10090
" ","81 Years",7900,9520
" ","82 Years",7540,9530
" ","83 Years",6570,8820
" ","84 Years",6000,8060
" ","85 Years",5280,7380
" ","86 Years",4610,6750
" ","87 Years",3760,6040
" ","88 Years",3210,5610
" ","89 Years",2470,4660
" ","90 Years",2060,3930
" ","91 Years",1590,3410
" ","92 Years",1180,2740
" ","93 Years",910,2150
" ","94 Years",560,1400
" ","0-4 Years",160150,151770
" ","5-9 Years",153570,146490
" ","10-14 Years",152180,144580
" ","15-19 Years",160150,152330
" ","20-24 Years",159180,155740
" ","25-29 Years",135330,142160
" ","30-34 Years",129510,141580
" ","35-39 Years",131500,144860
" ","40-44 Years",150170,166410
" ","45-49 Years",150100,161890
" ","50-54 Years",151680,161990
" ","55-59 Years",132170,139590
" ","60-64 Years",117900,123110
" ","65-69 Years",100570,105190
" ","70-74 Years",74040,80000
" ","75-79 Years",51010,58330
" ","80-84 Years",36100,46030
" ","85-89 Years",19340,30440
" ","Under 15 Years",465900,442900
" ","Under 16 Years",497500,472800
" ","Under 18 Years",561600,533600
" ","Under 20 Years",626100,595200
" ","15-39 Years",715700,736700
" ","15-49 Years",1015900,1065000
" ","15-59 Years",1299800,1366600
" ","40-64 Years",702000,753000
" ","15-64 Years",1417700,1489700
" ","15 Years and Over",1706200,1827100
" ","16 Years and Over",1674600,1797200
" ","18 Years and Over",1610500,1736400
" ","20 Years and Over",1546100,1674800
" ","90-94 Years",6300,13630
" ","60 Years and Over",406500,460500
" ","65 Years and Over",288600,337400
" ","75 Years and Over",114000,152200
" ","80 Years and Over",62900,93900
" ","85 Years and Over",26800,47900
" ","90 Years and Over",7500,17440
" ","95 Years and Over",1200,3810
" ","Median Age (Years)",36.4,38.5
" ","Total All Ages",2172200,2269900
"2013Q3","0 Years",30480,28930
" ","1 Years",31320,29960
" ","2 Years",31960,30250
" ","3 Years",32890,31280
" ","4 Years",32860,30730
" ","5 Years",32750,31160
" ","6 Years",32140,30490
" ","7 Years",30200,28960
" ","8 Years",29540,28240
" ","9 Years",29940,28370
" ","10 Years",29420,27990
" ","11 Years",29210,28080
" ","12 Years",30380,29220
" ","13 Years",31850,29870
" ","14 Years",30980,29190
" ","15 Years",31560,29910
" ","16 Years",31740,30230
" ","17 Years",32270,30420
" ","18 Years",32560,30900
" ","19 Years",32170,30700
" ","20 Years",32890,31570
" ","21 Years",32910,31420
" ","22 Years",32690,32120
" ","23 Years",31850,31510
" ","24 Years",30420,29960
" ","25 Years",29270,29550
" ","26 Years",28000,28720
" ","27 Years",26870,28320
" ","28 Years",26820,28440
" ","29 Years",26350,28490
" ","30 Years",26630,28780
" ","31 Years",26390,28600
" ","32 Years",26260,28310
" ","33 Years",25820,28290
" ","34 Years",25740,28250
" ","35 Years",25130,27760
" ","36 Years",25380,28090
" ","37 Years",26050,28140
" ","38 Years",26690,29670
" ","39 Years",27980,30590
" ","40 Years",28550,32100
" ","41 Years",30150,33210
" ","42 Years",30870,34270
" ","43 Years",30040,33410
" ","44 Years",30370,33280
" ","45 Years",30080,32840
" ","46 Years",29640,32390
" ","47 Years",29680,31830
" ","48 Years",29870,31910
" ","49 Years",30810,32660
" ","50 Years",31310,33920
" ","51 Years",31310,33390
" ","52 Years",30760,33120
" ","53 Years",29850,31630
" ","54 Years",29010,30760
" ","55 Years",27890,29440
" ","56 Years",27450,28920
" ","57 Years",26960,28310
" ","58 Years",25670,27380
" ","59 Years",25300,26510
" ","60 Years",24150,25720
" ","61 Years",24080,25100
" ","62 Years",23650,24530
" ","63 Years",23140,24500
" ","64 Years",23290,23830
" ","65 Years",22980,23910
" ","66 Years",23230,24170
" ","67 Years",19930,20860
" ","68 Years",18360,19580
" ","69 Years",17180,17900
" ","70 Years",15320,16210
" ","71 Years",16180,17200
" ","72 Years",15810,17040
" ","73 Years",14710,15850
" ","74 Years",12840,14340
" ","75 Years",11950,13460
" ","76 Years",10900,12610
" ","77 Years",10210,11770
" ","78 Years",9450,10590
" ","79 Years",8950,10370
" ","80 Years",8040,10160
" ","81 Years",7780,9500
" ","82 Years",7580,9480
" ","83 Years",6670,8890
" ","84 Years",5990,8140
" ","85 Years",5310,7330
" ","86 Years",4640,6790
" ","87 Years",3860,6090
" ","88 Years",3150,5450
" ","89 Years",2560,4810
" ","90 Years",2060,3870
" ","91 Years",1580,3430
" ","92 Years",1220,2760
" ","93 Years",980,2310
" ","94 Years",560,1330
" ","0-4 Years",159510,151150
" ","5-9 Years",154570,147220
" ","10-14 Years",151830,144340
" ","15-19 Years",160300,152160
" ","20-24 Years",160760,156580
" ","25-29 Years",137320,143520
" ","30-34 Years",130840,142240
" ","35-39 Years",131240,144250
" ","40-44 Years",149970,166270
" ","45-49 Years",150080,161640
" ","50-54 Years",152250,162820
" ","55-59 Years",133270,140560
" ","60-64 Years",118310,123680
" ","65-69 Years",101670,106410
" ","70-74 Years",74850,80640
