"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","81 Years",10850,12990
" ","82 Years",9280,11260
" ","83 Years",8180,10330
" ","84 Years",7020,9090
" ","85 Years",6180,8230
" ","86 Years",5390,7100
" ","87 Years",4830,6630
" ","88 Years",3880,6000
" ","89 Years",3400,5150
" ","90 Years",2960,4500
" ","91 Years",2410,4050
" ","92 Years",1870,3290
" ","93 Years",1390,2610
" ","94 Years",1070,2130
" ","0-4 Years",156390,148350
" ","5-9 Years",166770,158150
" ","10-14 Years",173930,164380
" ","15-19 Years",161030,152800
" ","20-24 Years",169620,159400
" ","25-29 Years",187550,178190
" ","30-34 Years",191940,193050
" ","35-39 Years",169260,172760
" ","40-44 Years",155270,158330
" ","45-49 Years",157640,163270
" ","50-54 Years",162020,169970
" ","55-59 Years",156990,165610
" ","60-64 Years",144750,154340
" ","65-69 Years",123070,131100
" ","70-74 Years",106650,112870
" ","75-79 Years",72620,80300
" ","80-84 Years",47420,57870
" ","85-89 Years",23690,33110
" ","Under 15 Years",497100,470900
" ","Under 16 Years",529800,501900
" ","Under 18 Years",594000,563100
" ","Under 20 Years",658100,623700
" ","15-39 Years",879400,856200
" ","15-49 Years",1192300,1177800
" ","15-59 Years",1511300,1513400
" ","40-64 Years",776700,811500
" ","15-64 Years",1656100,1667700
" ","15 Years and Over",2041600,2105500
" ","16 Years and Over",2008900,2074500
" ","18 Years and Over",1944600,2013200
" ","20 Years and Over",1880500,1952700
" ","90-94 Years",9710,16590
" ","60 Years and Over",530200,592100
" ","65 Years and Over",385500,437700
" ","75 Years and Over",155800,193800
" ","80 Years and Over",83100,113500
" ","85 Years and Over",35700,55600
" ","90 Years and Over",12020,22470
" ","95 Years and Over",2310,5890
" ","Median Age (Years)",36.8,38.8
" ","Total All Ages",2538700,2576300
"2021Q4","0 Years",31750,30590
" ","1 Years",30330,28770
" ","2 Years",31140,29750
" ","3 Years",31000,29310
" ","4 Years",31850,30350
" ","5 Years",32710,30940
" ","6 Years",32680,30910
" ","7 Years",33250,31190
" ","8 Years",33140,31620
" ","9 Years",34610,33250
" ","10 Years",34350,32490
" ","11 Years",35120,33280
" ","12 Years",34950,32750
" ","13 Years",35050,32960
" ","14 Years",34580,32770
" ","15 Years",32920,31300
" ","16 Years",32090,30510
" ","17 Years",32150,30540
" ","18 Years",32010,30170
" ","19 Years",31640,30000
" ","20 Years",32600,31220
" ","21 Years",34290,31990
" ","22 Years",33340,31580
" ","23 Years",33560,31220
" ","24 Years",34590,32340
" ","25 Years",35430,33150
" ","26 Years",36510,33850
" ","27 Years",36540,35000
" ","28 Years",37760,36280
" ","29 Years",39330,38190
" ","30 Years",39650,39150
" ","31 Years",39930,39880
" ","32 Years",38590,38800
" ","33 Years",37540,38350
" ","34 Years",36930,37320
" ","35 Years",35340,35650
" ","36 Years",34340,35130
" ","37 Years",33710,34670
" ","38 Years",33400,34040
" ","39 Years",33320,33950
" ","40 Years",32240,32530
" ","41 Years",31850,32370
" ","42 Years",31430,31650
" ","43 Years",30150,31240
" ","44 Years",29820,30720
" ","45 Years",30270,30570
" ","46 Years",30160,31150
" ","47 Years",31150,32310
" ","48 Years",31760,33350
" ","49 Years",33430,34580
" ","50 Years",33500,35110
" ","51 Years",32990,34660
" ","52 Years",32480,34020
" ","53 Years",32150,33870
" ","54 Years",31190,32610
" ","55 Years",30780,32030
" ","56 Years",30840,32260
" ","57 Years",31350,33150
" ","58 Years",31820,33810
" ","59 Years",31930,33910
" ","60 Years",30890,33080
" ","61 Years",30120,32130
" ","62 Years",28920,30730
" ","63 Years",28200,29930
" ","64 Years",27220,29270
" ","65 Years",26680,28040
" ","66 Years",25370,27410
" ","67 Years",24850,26300
" ","68 Years",23440,25200
" ","69 Years",23200,24740
" ","70 Years",22490,23210
" ","71 Years",21700,23410
" ","72 Years",21450,22120
" ","73 Years",20750,22120
" ","74 Years",20260,21920
" ","75 Years",18480,19820
" ","76 Years",15800,17570
" ","77 Years",14550,15970
" ","78 Years",12770,14180
" ","79 Years",12400,14190
" ","80 Years",12170,14290
" ","81 Years",11050,13180
" ","82 Years",9570,11610
" ","83 Years",8250,10360
" ","84 Years",7240,9340
" ","85 Years",6280,8400
" ","86 Years",5290,7120
" ","87 Years",4960,6730
" ","88 Years",4000,5890
" ","89 Years",3380,5190
" ","90 Years",2900,4570
" ","91 Years",2490,4040
" ","92 Years",1930,3340
" ","93 Years",1400,2710
" ","94 Years",1080,2050
" ","0-4 Years",156070,148780
" ","5-9 Years",166390,157910
" ","10-14 Years",174040,164250
" ","15-19 Years",160820,152520
" ","20-24 Years",168380,158360
" ","25-29 Years",185570,176470
" ","30-34 Years",192630,193500
" ","35-39 Years",170110,173440
" ","40-44 Years",155490,158520
" ","45-49 Years",156770,161960
" ","50-54 Years",162320,170270
" ","55-59 Years",156730,165150
" ","60-64 Years",145350,155140
" ","65-69 Years",123550,131700
" ","70-74 Years",106660,112780
" ","75-79 Years",74000,81740
" ","80-84 Years",48280,58790
" ","85-89 Years",23910,33330
" ","Under 15 Years",496500,470900
" ","Under 16 Years",529400,502200
" ","Under 18 Years",593700,563300
" ","Under 20 Years",657300,623500
" ","15-39 Years",877500,854300
" ","15-49 Years",1189800,1174800
" ","15-59 Years",1508800,1510200
" ","40-64 Years",776700,811000
" ","15-64 Years",1654200,1665300
" ","15 Years and Over",2042700,2106300
" ","16 Years and Over",2009800,2075000
" ","18 Years and Over",1945600,2014000
" ","20 Years and Over",1881900,1953800
" ","90-94 Years",9790,16700
" ","60 Years and Over",533900,596100
" ","65 Years and Over",388600,441000
" ","75 Years and Over",158300,196500
" ","80 Years and Over",84300,114800
" ","85 Years and Over",36100,56000
" ","90 Years and Over",12150,22650
" ","95 Years and Over",2370,5950
" ","Median Age (Years)",36.9,38.9
" ","Total All Ages",2539200,2577300
"2022Q1","0 Years",31300,30380
" ","1 Years",30600,29040
" ","2 Years",30620,29540
" ","3 Years",31230,29320
" ","4 Years",31770,30260
" ","5 Years",32400,30670
" ","6 Years",32660,30850
" ","7 Years",33380,31210
" ","8 Years",32870,31250
" ","9 Years",34320,33020
" ","10 Years",34260,32520
" ","11 Years",35000,33140
" ","12 Years",34950,33120
" ","13 Years",35160,32530
" ","14 Years",34640,33130
" ","15 Years",33520,31570
" ","16 Years",32090,30680
" ","17 Years",32220,30520
" ","18 Years",31800,30340
" ","19 Years",31780,29910
" ","20 Years",32120,30680
" ","21 Years",33830,31890
" ","22 Years",33640,31810
" ","23 Years",33200,30740
" ","24 Years",34430,32180
" ","25 Years",34660,32440
" ","26 Years",36040,33590
" ","27 Years",36370,34660
" ","28 Years",37070,35460
" ","29 Years",38580,37660
" ","30 Years",39840,38860
" ","31 Years",39970,40060
" ","32 Years",38850,38770
" ","33 Years",37510,38260
" ","34 Years",37300,38170
" ","35 Years",35570,35530
" ","36 Years",34360,35190
" ","37 Years",33730,34900
" ","38 Years",33440,34010
" ","39 Years",33310,33890
" ","40 Years",32440,32850
" ","41 Years",32050,32260
" ","42 Years",31490,31910
" ","43 Years",30250,31250
" ","44 Years",29870,30770
" ","45 Years",30100,30690
" ","46 Years",29950,30610
" ","47 Years",30980,32160
" ","48 Years",31480,33160
" ","49 Years",33030,34160
" ","50 Years",33490,34930
" ","51 Years",33080,34890
" ","52 Years",32560,33960
" ","53 Years",32450,33900
" ","54 Years",31270,32790
" ","55 Years",30710,32240
" ","56 Years",30830,32110
" ","57 Years",30980,32690
" ","58 Years",31700,33480
" ","59 Years",31860,34260
" ","60 Years",31200,33210
" ","61 Years",30170,32180
" ","62 Years",29210,30980
" ","63 Years",28290,30090
" ","64 Years",27520,29410
" ","65 Years",26510,28170
" ","66 Years",25580,27400
" ","67 Years",24800,26550
" ","68 Years",23770,25290
" ","69 Years",23230,24830
" ","70 Years",22510,23620
" ","71 Years",21770,23080
" ","72 Years",21350,22370
" ","73 Years",20710,21940
" ","74 Years",20270,21860
" ","75 Years",19190,20840
" ","76 Years",16170,17660
" ","77 Years",14580,16100
" ","78 Years",13360,14710
" ","79 Years",11920,13670
" ","80 Years",12280,14510
" ","81 Years",11300,13380
" ","82 Years",9660,11600
" ","83 Years",8400,10710
" ","84 Years",7410,9370
" ","85 Years",6230,8390
" ","86 Years",5440,7290
" ","87 Years",4890,6660
" ","88 Years",4160,5940
" ","89 Years",3310,5250
" ","90 Years",2900,4520
" ","91 Years",2500,4040
" ","92 Years",1960,3380
" ","93 Years",1420,2710
" ","94 Years",1040,2050
" ","0-4 Years",155520,148550
" ","5-9 Years",165640,157000
" ","10-14 Years",174010,164450
" ","15-19 Years",161410,153020
" ","20-24 Years",167220,157300
" ","25-29 Years",182720,173810
" ","30-34 Years",193470,194110
" ","35-39 Years",170410,173510
" ","40-44 Years",156100,159050
" ","45-49 Years",155530,160780
" ","50-54 Years",162840,170460
" ","55-59 Years",156080,164770
" ","60-64 Years",146390,155870
" ","65-69 Years",123890,132230
" ","70-74 Years",106600,112870
" ","75-79 Years",75220,82980
" ","80-84 Years",49060,59560
" ","85-89 Years",24040,33530
" ","Under 15 Years",495200,470000
" ","Under 16 Years",528700,501600
" ","Under 18 Years",593000,562800
" ","Under 20 Years",656600,623000
" ","15-39 Years",875200,851800
" ","15-49 Years",1186900,1171600
" ","15-59 Years",1505800,1506800
" ","40-64 Years",776900,810900
" ","15-64 Years",1652200,1662700
" ","15 Years and Over",2043200,2106600
" ","16 Years and Over",2009700,2075000
" ","18 Years and Over",1945400,2013800
" ","20 Years and Over",1881800,1953500
" ","90-94 Years",9830,16700
" ","60 Years and Over",537500,599700
" ","65 Years and Over",391100,443900
" ","75 Years and Over",160600,198800
" ","80 Years and Over",85400,115800
" ","85 Years and Over",36300,56200
" ","90 Years and Over",12260,22700
" ","95 Years and Over",2430,6000
" ","Median Age (Years)",37.0,39.0
" ","Total All Ages",2538400,2576500
"2022Q2","0 Years",30310,29700
" ","1 Years",31290,29590
" ","2 Years",30450,29350
" ","3 Years",31390,29450
" ","4 Years",31540,29980
" ","5 Years",32270,30870
" ","6 Years",32720,30740
" ","7 Years",33050,31220
" ","8 Years",33320,31290
" ","9 Years",33890,32550
" ","10 Years",34330,32780
" ","11 Years",34730,33030
" ","12 Years",35210,33360
" ","13 Years",35060,32510
" ","14 Years",34780,32970
" ","15 Years",34040,32110
" ","16 Years",32470,30930
" ","17 Years",31990,30500
" ","18 Years",31950,30460
" ","19 Years",32040,30040
" ","20 Years",31910,30600
" ","21 Years",33330,31470
" ","22 Years",33880,31710
" ","23 Years",33090,30910
" ","24 Years",34130,31710
" ","25 Years",34310,32290
" ","26 Years",35580,33070
" ","27 Years",36080,34150
" ","28 Years",36590,35120
" ","29 Years",38220,37050
" ","30 Years",39430,38530
" ","31 Years",39700,39570
" ","32 Years",39190,39490
" ","33 Years",37670,38210
" ","34 Years",37160,38180
" ","35 Years",36150,36030
" ","36 Years",34690,35310
" ","37 Years",33810,35040
" ","38 Years",33720,34370
" ","39 Years",33260,33860
" ","40 Years",32590,33250
" ","41 Years",32040,32280
" ","42 Years",31440,31930
" ","43 Years",30820,31590
" ","44 Years",29720,30700
" ","45 Years",30190,30750
" ","46 Years",30000,30450
" ","47 Years",30530,31810
" ","48 Years",31410,33000
" ","49 Years",32630,33720
" ","50 Years",33430,34950
" ","51 Years",33290,35300
" ","52 Years",32480,33730
" ","53 Years",32430,33840
" ","54 Years",31490,33140
" ","55 Years",30760,32510
" ","56 Years",30540,31900
" ","57 Years",30920,32420
" ","58 Years",31480,33220
" ","59 Years",31760,33970
" ","60 Years",31370,33460
" ","61 Years",30390,32520
" ","62 Years",29350,31030
" ","63 Years",28770,30500
" ","64 Years",27410,29370
" ","65 Years",26620,28390
" ","66 Years",25810,27570
" ","67 Years",24750,26720
" ","68 Years",24120,25640
" ","69 Years",23140,24660
" ","70 Years",22550,23880
" ","71 Years",21840,22900
" ","72 Years",21260,22720
" ","73 Years",20730,21720
" ","74 Years",20280,21930
" ","75 Years",19690,21270
" ","76 Years",16200,17790
" ","77 Years",14860,16410
" ","78 Years",13810,15190
" ","79 Years",11600,13280
" ","80 Years",12350,14450
" ","81 Years",11400,13560
" ","82 Years",9930,12040
" ","83 Years",8510,10540
" ","84 Years",7420,9520
" ","85 Years",6370,8410
" ","86 Years",5470,7480
" ","87 Years",4880,6580
" ","88 Years",4140,5970
" ","89 Years",3360,5260
" ","90 Years",2820,4530
" ","91 Years",2500,3910
" ","92 Years",1910,3350
" ","93 Years",1510,2780
" ","94 Years",1050,2060
" ","0-4 Years",154980,148060
" ","5-9 Years",165250,156660
" ","10-14 Years",174110,164640
" ","15-19 Years",162490,154030
" ","20-24 Years",166330,156400
" ","25-29 Years",180780,171690
" ","30-34 Years",193150,193980
" ","35-39 Years",171630,174600
" ","40-44 Years",156620,159740
" ","45-49 Years",154760,159730
" ","50-54 Years",163130,170960
" ","55-59 Years",155460,164010
" ","60-64 Years",147300,156880
" ","65-69 Years",124440,132980
" ","70-74 Years",106670,113150
" ","75-79 Years",76160,83930
" ","80-84 Years",49610,60100
" ","85-89 Years",24220,33700
" ","Under 15 Years",494300,469400
" ","Under 16 Years",528400,501500
" ","Under 18 Years",592900,562900
" ","Under 20 Years",656800,623400
" ","15-39 Years",874400,850700
" ","15-49 Years",1185800,1170200
" ","15-59 Years",1504400,1505100
" ","40-64 Years",777300,811300
" ","15-64 Years",1651600,1662000
" ","15 Years and Over",2045000,2108400
" ","16 Years and Over",2010900,2076300
" ","18 Years and Over",1946500,2014900
" ","20 Years and Over",1882500,1954400
" ","90-94 Years",9780,16630
" ","60 Years and Over",540600,603300
" ","65 Years and Over",393300,446400
" ","75 Years and Over",162200,200300
" ","80 Years and Over",86000,116300
" ","85 Years and Over",36400,56200
" ","90 Years and Over",12210,22530
" ","95 Years and Over",2440,5910
" ","Median Age (Years)",37.1,39.1
" ","Total All Ages",2539300,2577800
"2022Q3","0 Years",29830,29180
" ","1 Years",31440,29890
" ","2 Years",30490,28990
" ","3 Years",31390,29820
" ","4 Years",31540,29780
" ","5 Years",32160,30520
" ","6 Years",32880,31110
" ","7 Years",32950,31310
" ","8 Years",33310,31260
" ","9 Years",33670,32240
" ","10 Years",34440,32900
" ","11 Years",34700,32970
" ","12 Years",35280,33450
" ","13 Years",35110,32740
" ","14 Years",34960,33120
" ","15 Years",34590,32670
" ","16 Years",32870,31180
" ","17 Years",32010,30660
" ","18 Years",32210,30590
" ","19 Years",31900,30020
" ","20 Years",32000,30470
" ","21 Years",32820,31460
" ","22 Years",34280,31690
" ","23 Years",33100,31240
" ","24 Years",33750,31510
" ","25 Years",34360,32330
" ","26 Years",35230,32850
" ","27 Years",36180,34260
" ","28 Years",36460,35150
" ","29 Years",37800,36930
" ","30 Years",39630,38430
" ","31 Years",39610,39810
" ","32 Years",39720,39990
" ","33 Years",38140,38510
" ","34 Years",37550,38500
" ","35 Years",36760,36900
" ","36 Years",35020,35640
" ","37 Years",34390,35160
" ","38 Years",33670,34580
" ","39 Years",33330,34020
" ","40 Years",32980,33560
" ","41 Years",32250,32730
" ","42 Years",31780,32230
" ","43 Years",31110,31520
" ","44 Years",29940,30940
" ","45 Years",30020,30870
" ","46 Years",30160,30460
" ","47 Years",30260,31690
" ","48 Years",31260,32450
" ","49 Years",31960,33540
" ","50 Years",33480,34680
" ","51 Years",33500,35270
" ","52 Years",32550,34060
" ","53 Years",32420,34030
" ","54 Years",31660,33230
" ","55 Years",30940,32470
" ","56 Years",30520,31930
" ","57 Years",30580,32310
" ","58 Years",31330,32860
" ","59 Years",31720,33920
" ","60 Years",31440,33440
" ","61 Years",30570,32870
" ","62 Years",29510,31300
" ","63 Years",28750,30500
" ","64 Years",27630,29490
" ","65 Years",26880,28720
" ","66 Years",25970,27660
" ","67 Years",24920,27010
" ","68 Years",24280,25740
" ","69 Years",23120,24810
" ","70 Years",22710,24040
" ","71 Years",21910,22980
" ","72 Years",21150,22750
" ","73 Years",20910,21780
" ","74 Years",20140,21770
" ","75 Years",19920,21550
" ","76 Years",16780,18320
" ","77 Years",15130,16830
" ","78 Years",13810,15220
" ","79 Years",11780,13460
" ","80 Years",12180,14080
" ","81 Years",11490,13650
" ","82 Years",10210,12360
" ","83 Years",8690,10640
" ","84 Years",7550,9740
" ","85 Years",6400,8460
" ","86 Years",5560,7630
" ","87 Years",4820,6470
" ","88 Years",4210,5990
" ","89 Years",3330,5310
" ","90 Years",2830,4500
" ","91 Years",2420,3790
" ","92 Years",1940,3370
" ","93 Years",1450,2700
" ","94 Years",1050,2060
" ","0-4 Years",154700,147650
" ","5-9 Years",164950,156440
" ","10-14 Years",174490,165190
" ","15-19 Years",163590,155130
" ","20-24 Years",165940,156380
" ","25-29 Years",180020,171510
" ","30-34 Years",194660,195240
" ","35-39 Years",173180,176320
" ","40-44 Years",158050,160970
" ","45-49 Years",153670,159020
" ","50-54 Years",163610,171270
" ","55-59 Years",155090,163480
" ","60-64 Years",147900,157600
" ","65-69 Years",125160,133930
" ","70-74 Years",106820,113320
" ","75-79 Years",77430,85390
" ","80-84 Years",50110,60460
" ","85-89 Years",24310,33860
" ","Under 15 Years",494100,469300
" ","Under 16 Years",528700,502000
" ","Under 18 Years",593600,563800
" ","Under 20 Years",657700,624400
" ","15-39 Years",877400,854600
" ","15-49 Years",1189100,1174600
" ","15-59 Years",1507800,1509300
" ","40-64 Years",778300,812300
" ","15-64 Years",1655700,1666900
" ","15 Years and Over",2051700,2116100
" ","16 Years and Over",2017100,2083400
" ","18 Years and Over",1952200,2021600
" ","20 Years and Over",1888100,1961000
" ","90-94 Years",9690,16410
" ","60 Years and Over",543900,606800
" ","65 Years and Over",396000,449200
" ","75 Years and Over",164000,201900
" ","80 Years and Over",86600,116500
" ","85 Years and Over",36500,56100
" ","90 Years and Over",12160,22220
" ","95 Years and Over",2460,5810
" ","Median Age (Years)",37.1,39.1
" ","Total All Ages",2545800,2585400
"2022Q4","0 Years",29400,28310
" ","1 Years",31770,30560
" ","2 Years",30520,28960
" ","3 Years",31450,30080
" ","4 Years",31340,29600
" ","5 Years",32180,30740
" ","6 Years",32980,31200
" ","7 Years",32920,31210
" ","8 Years",33500,31450
" ","9 Years",33380,31870
" ","10 Years",34870,33510
" ","11 Years",34590,32750
" ","12 Years",35350,33510
" ","13 Years",35210,32990
" ","14 Years",35270,33180
" ","15 Years",34880,33040
" ","16 Years",33260,31600
" ","17 Years",32290,30690
" ","18 Years",32130,30540
" ","19 Years",31930,30190
" ","20 Years",31850,30260
" ","21 Years",32670,31330
" ","22 Years",34350,31980
" ","23 Years",33350,31520
" ","24 Years",33560,31350
" ","25 Years",34560,32450
" ","26 Years",35390,33440
" ","27 Years",36420,34300
" ","28 Years",36690,35490
" ","29 Years",38000,36980
" ","30 Years",39750,38850
" ","31 Years",40070,39830
" ","32 Years",40480,40460
" ","33 Years",39170,39330
" ","34 Years",38170,38870
" ","35 Years",37520,37820
" ","36 Years",35940,36020
" ","37 Years",34900,35510
" ","38 Years",34240,34960
" ","39 Years",33900,34270
" ","40 Years",33750,34240
" ","41 Years",32560,32820
" ","42 Years",32300,32590
" ","43 Years",31740,31780
" ","44 Years",30360,31370
" ","45 Years",30030,30830
" ","46 Years",30420,30650
" ","47 Years",30270,31230
" ","48 Years",31200,32290
" ","49 Years",31770,33270
" ","50 Years",33460,34510
" ","51 Years",33450,35060
" ","52 Years",32860,34590
" ","53 Years",32410,33960
" ","54 Years",32040,33730
" ","55 Years",31040,32440
" ","56 Years",30560,31940
" ","57 Years",30630,32080
" ","58 Years",31100,33020
" ","59 Years",31530,33630
" ","60 Years",31640,33710
" ","61 Years",30670,32860
" ","62 Years",29880,31910
" ","63 Years",28650,30490
" ","64 Years",27960,29740
" ","65 Years",26970,29060
" ","66 Years",26300,27810
" ","67 Years",25040,27040
" ","68 Years",24450,25960
" ","69 Years",23060,24890
" ","70 Years",22810,24420
" ","71 Years",22060,22840
" ","72 Years",21250,23040
" ","73 Years",20970,21770
" ","74 Years",20180,21740
" ","75 Years",19690,21460
" ","76 Years",17890,19310
" ","77 Years",15210,17130
" ","78 Years",13990,15460
" ","79 Years",12210,13770
" ","80 Years",11770,13700
" ","81 Years",11570,13690
" ","82 Years",10400,12560
" ","83 Years",8920,10990
" ","84 Years",7630,9760
" ","85 Years",6590,8710
" ","86 Years",5650,7730
" ","87 Years",4700,6510
" ","88 Years",4340,6100
" ","89 Years",3410,5190
" ","90 Years",2770,4550
" ","91 Years",2380,3860
" ","92 Years",1990,3310
" ","93 Years",1520,2720
" ","94 Years",1040,2140
" ","0-4 Years",154470,147510
" ","5-9 Years",164960,156460
" ","10-14 Years",175280,165940
" ","15-19 Years",164500,156060
" ","20-24 Years",165790,156450
" ","25-29 Years",181070,172670
" ","30-34 Years",197640,197340
" ","35-39 Years",176500,178570
" ","40-44 Years",160720,162800
" ","45-49 Years",153690,158280
" ","50-54 Years",164210,171850
" ","55-59 Years",154860,163120
" ","60-64 Years",148790,158700
" ","65-69 Years",125830,134770
" ","70-74 Years",107270,113820
" ","75-79 Years",78990,87140
" ","80-84 Years",50290,60710
" ","85-89 Years",24680,34250
" ","Under 15 Years",494700,469900
" ","Under 16 Years",529600,503000
" ","Under 18 Years",595100,565200
" ","Under 20 Years",659200,626000
" ","15-39 Years",885500,861100
" ","15-49 Years",1199900,1182200
" ","15-59 Years",1519000,1517100
" ","40-64 Years",782300,814700
" ","15-64 Years",1667800,1675800
" ","15 Years and Over",2067000,2128900
" ","16 Years and Over",2032100,2095800
" ","18 Years and Over",1966600,2033500
" ","20 Years and Over",1902500,1972800
" ","90-94 Years",9690,16580
" ","60 Years and Over",548000,611700
" ","65 Years and Over",399200,453000
" ","75 Years and Over",166100,204500
" ","80 Years and Over",87100,117300
" ","85 Years and Over",36900,56600
" ","90 Years and Over",12180,22350
" ","95 Years and Over",2490,5770
" ","Median Age (Years)",37.1,39.1
" ","Total All Ages",2561700,2598800
"2023Q1","0 Years",29370,27960
" ","1 Years",31390,30470
" ","2 Years",30920,29300
" ","3 Years",31100,30040
" ","4 Years",31790,29910
" ","5 Years",32410,30870
" ","6 Years",32920,31220
" ","7 Years",33160,31340
" ","8 Years",33840,31720
" ","9 Years",33340,31750
" ","10 Years",34840,33500
" ","11 Years",34680,33030
" ","12 Years",35470,33620
" ","13 Years",35400,33490
" ","14 Years",35630,33040
" ","15 Years",35160,33650
" ","16 Years",34040,32080
" ","17 Years",32490,31080
" ","18 Years",32330,30550
" ","19 Years",32110,30670
" ","20 Years",32320,30480
" ","21 Years",32660,31060
" ","22 Years",34300,32190
" ","23 Years",34140,32200
" ","24 Years",33790,31420
" ","25 Years",34960,32970
" ","26 Years",35370,33440
" ","27 Years",36780,34800
" ","28 Years",37280,36010
" ","29 Years",38150,36920
" ","30 Years",39900,39290
" ","31 Years",41210,40280
" ","32 Years",41370,41250
" ","33 Years",40380,39940
" ","34 Years",39070,39310
" ","35 Years",38790,39030
" ","36 Years",37040,36500
" ","37 Years",35650,35930
" ","38 Years",35080,35540
" ","39 Years",34710,34640
" ","40 Years",34490,34550
" ","41 Years",33520,33430
" ","42 Years",33000,32760
" ","43 Years",32400,32370
" ","44 Years",30980,31620
" ","45 Years",30530,31070
" ","46 Years",30680,30940
" ","47 Years",30400,30830
" ","48 Years",31270,32300
" ","49 Years",31730,33180
" ","50 Years",33240,34210
" ","51 Years",33560,34990
" ","52 Years",33060,34860
" ","53 Years",32590,33980
" ","54 Years",32400,33860
" ","55 Years",31180,32700
" ","56 Years",30560,32180
" ","57 Years",30650,32050
" ","58 Years",30820,32590
" ","59 Years",31450,33390
" ","60 Years",31600,34150
" ","61 Years",30990,33040
" ","62 Years",29980,32040
" ","63 Years",28990,30800
" ","64 Years",28100,29970
" ","65 Years",27310,29320
" ","66 Years",26200,28030
" ","67 Years",25310,27140
" ","68 Years",24490,26270
" ","69 Years",23460,25070
" ","70 Years",22880,24570
" ","71 Years",22100,23300
" ","72 Years",21400,22790
" ","73 Years",20910,22050
" ","74 Years",20230,21600
" ","75 Years",19710,21440
" ","76 Years",18590,20400
" ","77 Years",15640,17240
" ","78 Years",14000,15660
" ","79 Years",12760,14240
" ","80 Years",11340,13210
" ","81 Years",11650,13890
" ","82 Years",10690,12790
" ","83 Years",8990,11010
" ","84 Years",7820,10060
" ","85 Years",6730,8760
" ","86 Years",5600,7720
" ","87 Years",4810,6660
" ","88 Years",4320,6050
" ","89 Years",3570,5240
" ","90 Years",2770,4560
" ","91 Years",2360,3890
" ","92 Years",2030,3320
" ","93 Years",1550,2750
" ","94 Years",1080,2150
" ","0-4 Years",154560,147680
" ","5-9 Years",165660,156890
" ","10-14 Years",176010,166680
" ","15-19 Years",166130,158040
" ","20-24 Years",167220,157340
" ","25-29 Years",182530,174140
" ","30-34 Years",201940,200070
" ","35-39 Years",181280,181640
" ","40-44 Years",164390,164720
" ","45-49 Years",154600,158330
" ","50-54 Years",164860,171890
" ","55-59 Years",154660,162910
" ","60-64 Years",149670,159990
" ","65-69 Years",126780,135830
" ","70-74 Years",107520,114310
" ","75-79 Years",80700,88980
" ","80-84 Years",50500,60960
" ","85-89 Years",25020,34430
" ","Under 15 Years",496200,471300
" ","Under 16 Years",531400,504900
" ","Under 18 Years",597900,568100
" ","Under 20 Years",662400,629300
" ","15-39 Years",899100,871200
" ","15-49 Years",1218100,1194300
" ","15-59 Years",1537600,1529100
" ","40-64 Years",788200,817800
" ","15-64 Years",1687300,1689100
" ","15 Years and Over",2090100,2146100
" ","16 Years and Over",2054900,2112400
" ","18 Years and Over",1988400,2049300
" ","20 Years and Over",1924000,1988000
" ","90-94 Years",9780,16660
" ","60 Years and Over",552500,617000
" ","65 Years and Over",402800,457000
" ","75 Years and Over",168500,206900
" ","80 Years and Over",87800,117900
" ","85 Years and Over",37300,56900
" ","90 Years and Over",12290,22500
" ","95 Years and Over",2510,5840
" ","Median Age (Years)",37.1,39.0
" ","Total All Ages",2586300,2617300
"2023Q2","0 Years",29410,27750
" ","1 Years",30480,29870
" ","2 Years",31690,29950
" ","3 Years",31070,29870
" ","4 Years",32110,30170
" ","5 Years",32310,30690
" ","6 Years",33010,31660
" ","7 Years",33450,31420
" ","8 Years",33760,31910
" ","9 Years",33980,31980
" ","10 Years",34630,33200
" ","11 Years",34950,33440
" ","12 Years",35370,33680
" ","13 Years",35860,33970
" ","14 Years",35710,33180
" ","15 Years",35490,33640
" ","16 Years",34700,32830
" ","17 Years",33020,31530
" ","18 Years",32200,30600
" ","19 Years",32460,30820
" ","20 Years",32860,30660
" ","21 Years",32760,31100
" ","22 Years",34090,31760
" ","23 Years",34700,32320
" ","24 Years",33990,31720
" ","25 Years",35130,32850
" ","26 Years",35350,33710
" ","27 Years",36900,34870
" ","28 Years",37760,36170
" ","29 Years",38310,37330
" ","30 Years",40280,39340
" ","31 Years",41670,40700
" ","32 Years",41900,41320
" ","33 Years",41570,41130
" ","34 Years",40080,39740
" ","35 Years",39360,39450
" ","36 Years",38380,37350
" ","37 Years",36680,36390
" ","38 Years",35790,36080
" ","39 Years",35570,35310
" ","40 Years",34970,34750
" ","41 Years",34240,34080
" ","42 Years",33490,33090
" ","43 Years",32800,32600
" ","44 Years",32050,32120
" ","45 Years",30720,31180
" ","46 Years",31030,31160
" ","47 Years",30710,30800
" ","48 Years",31050,32060
" ","49 Years",31790,33140
" ","50 Years",32950,33790
" ","51 Years",33640,35040
" ","52 Years",33390,35370
" ","53 Years",32530,33800
" ","54 Years",32420,33870
" ","55 Years",31440,33130
" ","56 Years",30630,32430
" ","57 Years",30370,31920
" ","58 Years",30750,32400
" ","59 Years",31260,33170
" ","60 Years",31560,33940
" ","61 Years",31140,33320
" ","62 Years",30220,32460
