"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","65-69 Years",109930,114740
" ","70-74 Years",79000,84870
" ","75-79 Years",55730,63800
" ","80-84 Years",36770,45760
" ","85-89 Years",20780,31420
" ","Under 15 Years",470100,446300
" ","Under 16 Years",502300,476600
" ","Under 18 Years",566200,537100
" ","Under 20 Years",632900,599200
" ","15-39 Years",770200,766500
" ","15-49 Years",1073100,1093700
" ","15-59 Years",1369000,1407100
" ","40-64 Years",720900,768900
" ","15-64 Years",1491000,1535300
" ","15 Years and Over",1801700,1894900
" ","16 Years and Over",1769500,1864500
" ","18 Years and Over",1705600,1804000
" ","20 Years and Over",1638900,1741900
" ","90-94 Years",7130,14860
" ","60 Years and Over",432700,487700
" ","65 Years and Over",310700,359500
" ","75 Years and Over",121800,159900
" ","80 Years and Over",66000,96100
" ","85 Years and Over",29300,50400
" ","90 Years and Over",8480,18940
" ","95 Years and Over",1350,4080
" ","Median Age (Years)",36.1,38.5
" ","Total All Ages",2271800,2341100
2016,"0 Years",30620,28970
" ","1 Years",30700,28920
" ","2 Years",30820,29070
" ","3 Years",31960,30470
" ","4 Years",32510,30920
" ","5 Years",33110,31390
" ","6 Years",33560,31820
" ","7 Years",33520,31230
" ","8 Years",33340,31590
" ","9 Years",32220,30620
" ","10 Years",30730,29420
" ","11 Years",30400,28890
" ","12 Years",30470,29020
" ","13 Years",30380,28610
" ","14 Years",30520,29200
" ","15 Years",31980,30530
" ","16 Years",32750,30890
" ","17 Years",32130,30410
" ","18 Years",32760,30950
" ","19 Years",33690,31390
" ","20 Years",35140,31860
" ","21 Years",35570,32200
" ","22 Years",35530,32270
" ","23 Years",36420,33180
" ","24 Years",36990,33930
" ","25 Years",36680,34800
" ","26 Years",35500,34370
" ","27 Years",33790,33420
" ","28 Years",32730,33450
" ","29 Years",31660,32190
" ","30 Years",30540,31770
" ","31 Years",30000,31720
" ","32 Years",29800,31250
" ","33 Years",29640,31010
" ","34 Years",29060,30480
" ","35 Years",28670,29990
" ","36 Years",28260,29840
" ","37 Years",27680,29580
" ","38 Years",27170,29080
" ","39 Years",27540,29260
" ","40 Years",27770,29330
" ","41 Years",28580,30760
" ","42 Years",29630,31920
" ","43 Years",30750,33080
" ","44 Years",31910,34230
" ","45 Years",32000,34650
" ","46 Years",31520,33790
" ","47 Years",31520,33630
" ","48 Years",30990,32970
" ","49 Years",30450,32390
" ","50 Years",30510,31960
" ","51 Years",30720,32450
" ","52 Years",31530,33260
" ","53 Years",31870,34000
" ","54 Years",31620,33480
" ","55 Years",30730,32760
" ","56 Years",29760,31410
" ","57 Years",29020,30580
" ","58 Years",27930,29550
" ","59 Years",27300,28760
" ","60 Years",26560,27930
" ","61 Years",25650,27230
" ","62 Years",24910,26280
" ","63 Years",24140,25560
" ","64 Years",23820,24790
" ","65 Years",23290,24190
" ","66 Years",22950,24000
" ","67 Years",22720,23390
" ","68 Years",22410,23450
" ","69 Years",21900,22930
" ","70 Years",18830,19890
" ","71 Years",17190,18390
" ","72 Years",16010,16960
" ","73 Years",14470,15590
" ","74 Years",15050,16500
" ","75 Years",14470,15990
" ","76 Years",13070,14610
" ","77 Years",11500,13290
" ","78 Years",10580,12290
" ","79 Years",9620,11370
" ","80 Years",8760,10400
" ","81 Years",8100,9620
" ","82 Years",7360,9140
" ","83 Years",6620,8700
" ","84 Years",6230,8090
" ","85 Years",5830,7820
" ","86 Years",4970,7160
" ","87 Years",4280,6360
" ","88 Years",3600,5590
" ","89 Years",3010,4980
" ","90 Years",2370,4290
" ","91 Years",1880,3680
" ","92 Years",1410,2970
" ","93 Years",1060,2370
" ","94 Years",780,1930
" ","0-4 Years",156610,148350
" ","5-9 Years",165750,156650
" ","10-14 Years",152500,145130
" ","15-19 Years",163300,154160
" ","20-24 Years",179660,163450
" ","25-29 Years",170370,168220
" ","30-34 Years",149040,156230
" ","35-39 Years",139310,147740
" ","40-44 Years",148630,159320
" ","45-49 Years",156480,167430
" ","50-54 Years",156250,165140
" ","55-59 Years",144730,153060
" ","60-64 Years",125070,131800
" ","65-69 Years",113270,117960
" ","70-74 Years",81540,87330
" ","75-79 Years",59240,67550
" ","80-84 Years",37070,45950
" ","85-89 Years",21680,31910
" ","Under 15 Years",474900,450100
" ","Under 16 Years",506800,480600
" ","Under 18 Years",571700,542000
" ","Under 20 Years",638200,604300
" ","15-39 Years",801700,789800
" ","15-49 Years",1106800,1116600
" ","15-59 Years",1407800,1434800
" ","40-64 Years",731200,776800
